id,name,parent_classification_id
246,Management,235
247,Networks & Systems Administration,235
248,Product Management & Development,235
249,Programme & Project Management,235
250,Sales - Pre & Post,235
251,Security,235
252,Team Leaders,235
253,Technical Writing,235
254,Telecommunications,235
255,Testing & Quality Assurance,235
256,Web Development & Production,235
257,Other,235
258,Insurance & Superannuation,NULL
259,Actuarial,258
260,Assessment,258
261,Brokerage,258
262,Claims,258
263,Fund Administration,258
264,Management,258
265,Risk Consulting,258
266,Superannuation,258
267,Underwriting,258
268,Workers' Compensation,258
269,Other,258
270,Legal,NULL
271,Banking & Finance Law,270
272,Construction Law,270
273,Corporate & Commercial Law,270
274,Criminal & Civil Law,270
275,Environment & Planning Law,270
276,Family Law,270
277,Generalists - In-house,270
278,Generalists - Law Firm,270
279,Industrial Relations & Employment Law,270
280,Insurance & Superannuation Law,270
281,Intellectual Property Law,270
282,Law Clerks & Paralegals,270
283,Legal Practice Management,270
284,Legal Secretaries,270
285,Litigation & Dispute Resolution,270
286,Personal Injury Law,270
287,Property Law,270
288,Tax Law,270
289,Other,270
290,"Manufacturing, Transport & Logistics",NULL
291,Analysis & Reporting,290
292,Assembly & Process Work,290
293,Aviation Services,290
294,"Couriers, Drivers & Postal Services",290
295,Fleet Management,290
296,Freight/Cargo Forwarding,290
297,Import/Export & Customs,290
298,Machine Operators,290
299,Management,290
300,Pattern Makers & Garment Technicians,290
301,Pickers & Packers,290
302,"Production, Planning & Scheduling",290
303,Public Transport & Taxi Services,290
304,"Purchasing, Procurement & Inventory",290
305,Quality Assurance & Control,290
306,Rail & Maritime Transport,290
307,Road Transport,290
308,Team Leaders/Supervisors,290
309,"Warehousing, Storage & Distribution",290
310,Other,290
311,Marketing & Communications,NULL
312,Brand Management,311
313,Digital & Search Marketing,311
314,Direct Marketing & CRM,311
315,Event Management,311
316,Internal Communications,311
317,Management,311
318,Market Research & Analysis,311
319,Marketing Assistants/Coordinators,311
320,Marketing Communications,311
321,Product Management & Development,311
322,Public Relations & Corporate Affairs,311
323,Trade Marketing,311
324,Other,311
325,"Mining, Resources & Energy",NULL
326,Analysis & Reporting,325
327,"Health, Safety & Environment",325
328,Management,325
329,Mining - Drill & Blast,325
330,Mining - Engineering & Maintenance,325
331,Mining - Exploration & Geoscience,325
332,Mining - Operations,325
333,Mining - Processing,325
334,Natural Resources & Water,325
335,Oil & Gas - Drilling,325
336,Oil & Gas - Engineering & Maintenance,325
337,Oil & Gas - Exploration & Geoscience,325
338,Oil & Gas - Operations,325
339,Oil & Gas - Production & Refinement,325
340,Power Generation & Distribution,325
341,Surveying,325
342,Other,325
343,Real Estate & Property,NULL
344,Administration,343
